,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
27424,0.876997,7,0.06383,0.035157,0.201726,0.002374,0.288452,0.444298,1
3098,0.871731,4,0.659574,0.049117,0.455817,0.00329,0.531072,0.517982,0
10884,0.026592,5,0.191489,0.074517,0.206486,0.003467,0.422915,0.414912,0
29516,0.446927,1,0.574468,0.041582,0.310622,0.001288,0.254531,0.590351,1
12604,0.023185,4,0.510638,0.07959,0.457899,0.003467,0.422915,0.414912,1
18862,0.429052,2,0.659574,0.100546,0.512794,0.003467,0.422915,0.414912,1
14061,0.443387,4,0.382979,0.080942,0.550283,0.005336,0.562144,0.473684,1
7420,0.876333,6,0.170213,0.025309,0.200536,0.001007,0.31797,0.797807,0
20847,0.867218,4,0.574468,0.036057,0.471883,0.002462,0.412998,0.371053,1
33115,0.443255,1,0.191489,0.031734,0.099524,0.002092,0.137235,0.677632,0
21074,0.452325,4,0.978723,0.040561,0.608896,0.002742,0.497152,0.505263,1
9322,0.867484,3,0.702128,0.032575,0.627046,0.002171,0.707923,0.480263,1
697,0.903146,7,0.787234,0.089138,0.453883,0.005879,0.429829,0.548246,1
18600,0.867307,6,0.170213,0.026,0.150253,0.001691,0.181512,0.842982,0
232,0.013008,4,0.723404,0.082773,0.591044,0.003467,0.422915,0.414912,1
160,0.030795,2,0.191489,0.098895,0.207081,0.003467,0.422915,0.414912,1
14788,0.433388,7,0.744681,0.049838,0.344689,0.003467,0.422915,0.414912,0
25953,0.885315,7,0.234043,0.020416,0.146831,0.001319,0.213102,0.778509,0
2826,0.00969,5,0.680851,0.092861,0.609789,0.003467,0.422915,0.414912,1
23872,0.894651,2,0.978723,0.069473,0.594615,0.004609,0.519679,0.498246,0
21086,0.438697,2,0.510638,0.058394,0.513538,0.003467,0.422915,0.414912,1
19239,0.023096,2,0.659574,0.109133,0.498661,0.003467,0.422915,0.414912,1
14213,0.013141,7,0.234043,0.040801,0.10607,0.003467,0.422915,0.414912,0
29806,4.4e-05,3,0.531915,0.042482,0.477388,0.003467,0.422915,0.414912,0
21034,0.460068,6,0.297872,0.029572,0.453883,0.001973,0.483946,0.357456,0
5723,0.871422,2,0.851064,0.027651,0.548051,0.001653,0.468669,0.82807,0
24967,0.876864,4,0.851064,0.028462,0.402856,0.001915,0.388141,0.480263,0
24331,0.447635,3,0.87234,0.077159,0.696073,0.005285,0.537286,0.46886,1
2822,0.442326,7,0.06383,0.036658,0.18313,0.003467,0.422915,0.414912,0
19671,0.017964,5,0.510638,0.080401,0.494198,0.003467,0.422915,0.414912,0
8986,0.434052,1,0.12766,0.043383,0.106813,0.003467,0.422915,0.414912,0
33150,0.005177,1,0.319149,0.050859,0.552514,0.003467,0.422915,0.414912,0
6010,0.867174,3,0.468085,0.045154,0.484975,0.003078,0.391507,0.336842,1
3432,0.022211,3,0.085106,0.064879,0.268968,0.003467,0.422915,0.414912,1
4310,0.890049,3,0.893617,0.057133,0.734008,0.003868,0.587519,0.498684,0
35764,0.000221,7,0.404255,0.047376,0.351235,0.003467,0.422915,0.414912,0
35310,0.027565,6,0.340426,0.074817,0.399583,0.003467,0.422915,0.414912,1
2719,0.898323,2,0.978723,0.077789,0.60607,0.005041,0.516054,0.627193,1
32662,0.447148,6,0.87234,0.046175,0.579441,0.003226,0.502848,0.404386,0
17845,0.986594,5,0.829787,0.067912,0.647575,0.004584,0.576126,0.40307,0
25331,0.452015,4,0.87234,0.037318,0.716007,0.00257,0.549715,0.417982,0
18483,0.911597,3,0.744681,0.043293,0.459685,0.00285,0.477991,0.53114,0
31392,0.433698,7,0.021277,0.040801,0.182535,0.003467,0.422915,0.414912,0
22699,0.875979,1,0.425532,0.030293,0.422196,0.001971,0.263853,0.586842,0
5275,0.44706,4,0.148936,0.018794,0.267926,0.000976,0.281978,0.765789,0
12270,0.452325,4,0.234043,0.033025,0.349747,0.002219,0.347747,0.744298,0
24224,0.889253,4,0.212766,0.029062,0.202767,0.001786,0.284568,0.809649,0
28248,0.013053,5,0.531915,0.048247,0.516959,0.003467,0.422915,0.414912,0
15337,0.460511,2,0.106383,0.022607,0.156501,0.001523,0.278094,0.660526,0
13773,0.460334,5,0.404255,0.119221,0.558614,0.008176,0.58493,0.205702,1
2383,0.867307,6,0.744681,0.028462,0.394823,0.001934,0.410927,0.553947,0
25593,0.872484,5,0.638298,0.981806,0.822969,0.06335,0.996893,0.200439,1
9732,0.881156,4,0.531915,0.031704,0.523654,0.002144,0.540911,0.489474,0
14567,0.455644,3,0.12766,0.034526,0.311366,0.002339,0.392802,0.684649,0
7925,0.009867,2,0.468085,0.07887,0.590896,0.003467,0.422915,0.414912,1
29358,0.894695,3,0.361702,0.088387,0.671973,0.005926,0.73304,0.314035,1
34601,0.8762,3,0.12766,0.018494,0.135674,0.000764,0.219575,0.857018,0
19534,0.867439,2,0.531915,0.035127,0.619905,0.002329,0.769808,0.200877,1
31302,0.460378,6,0.531915,0.032995,0.487652,0.002291,0.488089,0.317544,0
28268,0.455998,4,0.021277,0.03891,0.541952,0.002669,0.447437,0.585088,0
34898,0.898058,3,0.255319,0.082293,0.456561,0.005245,0.41507,0.779825,1
23287,0.013937,4,0.638298,0.088958,0.554894,0.003467,0.422915,0.414912,1
24627,0.893633,7,0.765957,0.089648,0.746653,0.005985,0.572242,0.589035,1
4042,0.906818,6,0.319149,0.042542,0.434692,0.002906,0.391248,0.43114,0
20149,0.026459,2,0.319149,0.074817,0.504612,0.003467,0.422915,0.414912,0
15974,0.968895,1,0.510638,0.048847,0.407766,0.002009,0.321077,0.59386,0
4960,0.452192,1,0.319149,0.032455,0.27953,0.001749,0.106422,0.703509,0
13078,0.433963,6,0.808511,0.057043,0.346474,0.003467,0.422915,0.414912,1
27225,0.897925,7,0.595745,0.035967,0.414906,0.001888,0.401346,0.636842,0
20190,0.022521,3,0.829787,0.074186,0.461916,0.003467,0.422915,0.414912,0
15074,0.023008,7,0.808511,0.082773,0.371913,0.003467,0.422915,0.414912,1
31206,0.9035,1,0.0,0.056203,0.324457,0.003737,0.300104,0.578947,1
5006,0.438078,2,0.723404,0.056713,0.489289,0.003467,0.422915,0.414912,0
3691,0.46082,2,0.765957,0.104599,0.673758,0.007158,0.499482,0.332895,1
21738,0.903102,6,0.021277,0.087426,0.470693,0.005733,0.426981,0.595614,1
34211,0.486837,4,0.042553,0.085985,0.375483,0.005945,0.424133,0.196491,1
7753,0.881377,2,0.808511,0.030803,0.540018,0.002164,0.583635,0.295614,0
24078,0.451042,3,0.808511,0.044674,0.791877,0.002989,0.622216,0.472368,1
31627,0.424583,5,0.893617,0.07866,0.30601,0.003467,0.422915,0.414912,1
34229,0.898235,7,0.234043,0.05281,0.212883,0.002324,0.269291,0.794298,0
2669,0.90288,1,0.914894,0.044764,0.335168,0.002925,0.331693,0.621053,0
12399,0.000885,1,0.978723,0.155878,0.490777,0.003467,0.422915,0.414912,0
25198,0.46551,3,0.893617,0.027771,0.384112,0.001878,0.299068,0.648246,0
1831,0.424539,4,0.531915,0.058394,0.343053,0.003467,0.422915,0.414912,1
2297,0.027255,6,0.234043,0.077639,0.193395,0.003467,0.422915,0.414912,0
13775,0.446662,2,0.021277,0.033445,0.355995,0.002156,0.385552,0.647368,0
16064,0.438432,3,1.0,0.055212,0.438411,0.003467,0.422915,0.414912,0
30600,0.871377,1,0.404255,0.030803,0.405832,0.00188,0.277059,0.82193,1
8654,0.902748,5,0.531915,0.090789,0.486462,0.006074,0.560331,0.436842,1
7529,0.44675,4,0.085106,0.03951,0.380988,0.002565,0.407043,0.585965,0
21297,0.42476,2,0.12766,0.081932,0.115591,0.003467,0.422915,0.414912,0
9951,0.031459,3,0.085106,0.05278,0.170634,0.003467,0.422915,0.414912,0
25277,0.424937,6,0.680851,0.066801,0.267777,0.003467,0.422915,0.414912,0
20566,0.018141,2,0.638298,0.082022,0.506546,0.003467,0.422915,0.414912,1
24550,0.871599,6,0.06383,0.025009,0.245611,0.001498,0.379337,0.798684,0
3054,0.009601,3,0.531915,0.041642,0.524695,0.003467,0.422915,0.414912,0
2958,0.893987,1,0.06383,0.047976,0.33978,0.002925,0.481357,0.662719,0
1970,0.42945,4,0.617021,0.088237,0.569473,0.003467,0.422915,0.414912,1
2217,0.438697,2,0.553191,0.055782,0.512199,0.003467,0.422915,0.414912,0
3801,0.465378,7,0.340426,0.027891,0.356293,0.001735,0.262558,0.683772,0
6217,0.004469,6,1.0,0.043833,0.416989,0.003467,0.422915,0.414912,0
33073,0.447148,6,0.12766,0.018044,0.29039,0.000906,0.281719,0.673246,0
15326,0.451307,2,0.702128,0.040471,0.598929,0.002661,0.504661,0.609211,1
29698,0.893943,7,0.297872,0.044434,0.400625,0.001764,0.324443,0.816228,0
9376,0.473475,2,0.595745,0.027351,0.565903,0.001849,0.556189,0.427193,0
26663,0.868059,2,0.276596,0.025609,0.167361,0.000837,0.163387,0.902193,0
10311,0.004956,3,0.425532,0.050108,0.609194,0.003467,0.422915,0.414912,0
20945,0.465643,6,0.617021,0.061817,0.598631,0.004217,0.493009,0.433772,1
6905,0.027078,2,0.851064,0.077939,0.390658,0.003467,0.422915,0.414912,0
19905,0.434052,1,0.319149,0.055032,0.493752,0.003467,0.422915,0.414912,0
27473,0.473917,5,0.042553,0.027141,0.254686,0.001828,0.360176,0.596491,0
22443,0.87682,3,0.808511,0.028612,0.472925,0.001894,0.446142,0.576316,0
11182,0.889474,4,0.829787,0.033265,0.677031,0.002304,0.624288,0.333333,0
17790,0.018406,1,0.255319,0.089648,0.317316,0.003467,0.422915,0.414912,1
4306,0.473253,4,0.893617,0.024829,0.396608,0.001651,0.263594,0.613158,0
33969,0.473961,6,0.595745,0.028642,0.604284,0.001886,0.443811,0.617544,0
18786,0.97332,2,0.12766,0.030293,0.194585,0.001959,0.307354,0.697368,0
18083,0.90788,2,0.042553,0.043023,0.184171,0.002914,0.353185,0.39693,1
35478,0.889562,6,0.255319,0.06596,0.384558,0.003644,0.361471,0.644298,1
29830,0.013406,6,0.510638,0.076258,0.435287,0.003467,0.422915,0.414912,0
7671,0.438255,6,0.170213,0.048667,0.13136,0.003467,0.422915,0.414912,0
18640,0.881288,7,0.553191,0.029572,0.330408,0.001924,0.309943,0.61886,0
1769,0.899075,5,0.617021,0.076678,0.51562,0.005004,0.569135,0.575,1
33755,0.008672,3,0.446809,0.075417,0.634781,0.003467,0.422915,0.414912,1
21405,0.013097,6,0.468085,0.041732,0.455073,0.003467,0.422915,0.414912,0
33858,0.004513,7,0.93617,0.089498,0.450015,0.003467,0.422915,0.414912,1
3290,0.45144,5,0.574468,0.039,0.572002,0.002642,0.685914,0.364474,0
2607,0.885536,5,0.446809,0.029152,0.535109,0.002025,0.641895,0.292544,0
3027,0.881288,7,0.234043,0.024979,0.115293,0.001618,0.166753,0.724561,0
7487,0.885138,3,0.148936,0.035697,0.21809,0.002312,0.283791,0.665351,0
29573,0.447414,5,0.765957,0.075327,0.839631,0.005324,0.734852,0.289035,1
21726,0.43414,3,0.531915,0.09181,0.599524,0.003467,0.422915,0.414912,1
32246,0.912084,7,0.957447,0.044314,0.32892,0.002923,0.273175,0.597368,0
15407,0.90757,2,0.340426,0.085745,0.50848,0.005708,0.527965,0.491667,1
28544,0.465289,5,0.595745,0.068032,0.48676,0.004684,0.491196,0.192544,1
21965,0.451794,6,0.93617,0.040891,0.654865,0.002705,0.433713,0.671053,0
168,0.46113,2,0.085106,0.029693,0.193544,0.002032,0.320818,0.407456,0
2923,0.456794,1,0.021277,0.02591,0.312705,0.001726,0.353703,0.692105,0
17113,0.474183,4,0.425532,0.035937,0.528414,0.00243,0.325997,0.676754,1
29409,0.473519,3,0.106383,0.022427,0.162005,0.001514,0.24262,0.626754,0
18200,0.451175,6,0.106383,0.03915,0.369087,0.002597,0.393061,0.603509,0
5311,0.443033,3,0.191489,0.034286,0.193395,0.002223,0.191093,0.763158,0
12543,0.026282,5,0.553191,0.081092,0.4518,0.003467,0.422915,0.414912,1
35854,0.45644,7,0.978723,0.033445,0.428146,0.002268,0.45391,0.361842,1
29083,0.907084,5,0.617021,0.088868,0.459387,0.005958,0.669601,0.412719,1
9190,0.013628,4,0.808511,0.041431,0.593722,0.003467,0.422915,0.414912,0
20188,0.443387,4,0.234043,0.034856,0.244719,0.001917,0.257897,0.765789,0
14529,0.008938,2,0.12766,0.075958,0.292026,0.003467,0.422915,0.414912,0
14941,0.898146,5,0.06383,0.055362,0.458494,0.003623,0.527447,0.638158,0
6221,0.429096,3,0.191489,0.07902,0.198453,0.003467,0.422915,0.414912,1
10620,0.885448,3,0.978723,0.047406,0.471586,0.003141,0.431642,0.617105,1
35674,0.903633,4,0.191489,0.027801,0.149658,0.001797,0.10927,0.780702,0
17539,0.424981,7,0.638298,0.058394,0.221363,0.003467,0.422915,0.414912,0
35430,0.474315,7,0.851064,0.027891,0.256025,0.001863,0.192128,0.770175,1
9419,0.898102,6,0.574468,0.031854,0.477685,0.002243,0.582859,0.230263,0
1191,0.000752,5,0.702128,0.095473,0.488545,0.003467,0.422915,0.414912,1
5565,0.871908,6,0.914894,0.027231,0.439899,0.00178,0.292336,0.787719,0
32476,0.451529,7,0.808511,0.041251,0.699792,0.002703,0.502848,0.702193,1
30009,0.424848,4,0.170213,0.055242,0.105177,0.003467,0.422915,0.414912,0
27206,0.469139,2,0.319149,0.049297,0.470098,0.003265,0.495857,0.432456,1
24304,0.867484,3,0.425532,0.035757,0.623178,0.002372,0.695753,0.346491,1
23263,0.438034,1,0.489362,0.085475,0.49524,0.003467,0.422915,0.414912,1
6253,0.87182,4,0.914894,0.027021,0.44942,0.001747,0.363542,0.752193,0
29404,0.022477,2,0.148936,6e-05,0.139988,0.003467,0.422915,0.414912,0
5398,0.429981,2,0.489362,0.07959,0.566052,0.003467,0.422915,0.414912,0
7372,0.446971,2,0.085106,0.019965,0.235942,0.001269,0.316416,0.700439,0
1777,0.031857,5,0.148936,0.040351,0.015323,0.003467,0.422915,0.414912,0
4707,0.871422,2,0.276596,0.028071,0.499256,0.00182,0.64086,0.524123,0
24145,0.890359,3,0.851064,0.102048,0.826688,0.006982,0.619886,0.471491,1
13159,0.898279,1,0.702128,0.069353,0.467867,0.002933,0.304247,0.873246,1
35047,0.867793,3,0.829787,0.027741,0.473669,0.001244,0.393061,0.696053,0
9452,0.01792,4,0.510638,0.06614,0.486909,0.003467,0.422915,0.414912,0
9463,0.875979,1,0.361702,0.029182,0.345135,0.001894,0.230192,0.65307,0
21128,1.0,2,0.851064,0.072355,0.540315,0.00499,0.541429,0.339912,1
32558,0.451396,4,0.914894,0.03933,0.602648,0.002175,0.497929,0.671053,0
31339,0.46113,2,0.723404,0.031134,0.452395,0.002142,0.430606,0.285965,0
25319,0.429185,5,0.851064,0.073256,0.43975,0.003467,0.422915,0.414912,0
6177,0.000354,3,0.06383,0.083794,0.363582,0.003467,0.422915,0.414912,0
11719,0.013583,3,0.212766,0.041431,0.23609,0.003467,0.422915,0.414912,0
29889,0.912216,3,0.191489,0.049177,0.212586,0.003292,0.269549,0.50614,0
6343,0.911774,7,0.234043,0.042212,0.204999,0.002709,0.271621,0.74693,0
564,0.902792,6,0.319149,0.081992,0.524993,0.005474,0.56318,0.441228,1
13441,0.000354,3,0.12766,0.077999,0.217197,0.003467,0.422915,0.414912,0
21709,0.474094,2,0.617021,0.06605,0.700684,0.004468,0.41507,0.672368,1
35282,0.442547,6,0.148936,0.046115,0.193097,0.003064,0.266701,0.500526,0
4821,0.425114,3,0.638298,0.115228,0.495388,0.003467,0.422915,0.414912,1
23100,0.424981,7,0.042553,0.040801,0.118268,0.003467,0.422915,0.414912,0
21520,0.911243,2,0.021277,0.042032,0.253198,0.00275,0.302175,0.607895,0
14127,0.000531,7,0.489362,0.084064,0.33859,0.003467,0.422915,0.414912,1
